self_brand,compatibility_category,detected_brands,title,product_brand,source_url,compatibility
Lenovo,self-only,Lenovo,Compatible Display 00NY534,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny534-145201439,"Panel part numbers: 00NY534. Compatible laptop models: Lenovo ThinkPad P50s (20FL/20FK), Lenovo ThinkPad T560 (20FH/20FJ). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY651,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny651-145201458,"Panel part numbers: 00NY651. Compatible laptop models: Lenovo P50 (20EN), Lenovo ThinkPad E560p (20G5), Lenovo ThinkPad P50 (20EQ/20EN), Lenovo ThinkPad P51 (20HH/20HJ/20MM/20MN). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY661 14.0 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny661-101529748/nup,"Panel part numbers: 00NY661, SD10M67943. Compatible laptop models: Lenovo IdeaPad S130-14IGM (81J2), Lenovo IdeaPad 330-14IKB (81G2/81DA), Lenovo B41-80 (80LG), Lenovo IdeaPad 500S-14ISK (80Q3), Lenovo V145-14AST (81MS), Lenovo V330-14ARR (81B1), Lenovo IdeaPad 330-14IGM (81D0), Lenovo S41-70 (80JU/80JS), Lenovo ThinkPad E470 (20H1/20H2). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY662 14.0 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny662-101529749/nup,"Panel part numbers: 00NY662, 18201581. Compatible laptop models: Lenovo IdeaPad 500S-14ISK (80Q3), Lenovo S41-75 (80JR), Lenovo Z41-70 (80K5), Lenovo IdeaPad S130-14IGM (81J2), Lenovo V145-14AST (81MS), Lenovo V330-14ARR (81B1), Lenovo IdeaPad 330-14IGM (81D0), Lenovo S41-70 (80JU/80JS), Lenovo ThinkPad E470 (20H1/20H2). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY666 14.0 in 1920x1080 / 0 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny666-113967709,"Panel part numbers: 00NY666. Compatible laptop models: Lenovo ThinkPad T460 (20FN/20FM), Lenovo ThinkPad T460s (20FA/20F9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY667 17.3 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny667-99732783,"Panel part numbers: 00NY667, SD10Q66931, SD10M68021, 00NY401, 00NY402, 00HN885. Compatible laptop models: Lenovo IdeaPad 330-17IKB (81DK), Lenovo IdeaPad 330-17IKB (81DM), Lenovo IdeaPad 330-17ICH (81FL), Lenovo ThinkPad P72 (20MB/20MC), Lenovo ThinkPad P17 Gen 2 (20YU/20YV), Lenovo IdeaPad 320-17ABR (80YN), Lenovo IdeaPad 320-17ISK (80XJ), Lenovo IdeaPad 320-17AST (80XW), Lenovo IdeaPad L340-17API (81LY), Lenovo V320-17IKB (81AH). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY679,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny679-136303600,"Panel part numbers: 00NY679. Compatible laptop models: Lenovo ThinkPad P43s (20RH/20RJ), Lenovo ThinkPad T490 (20N2/20N3), Lenovo ThinkPad T490 (20Q9/20QH), Lenovo ThinkPad T490 (20RY/20RX), Lenovo ThinkPad X1 Carbon 6th Gen (20KH/20KG). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY680,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny680-145201464,"Panel part numbers: 00NY680. Compatible laptop models: Lenovo ThinkPad P43s (20RH/20RJ), Lenovo ThinkPad T490 (20N2/20N3), Lenovo ThinkPad T490 (20Q9/20QH), Lenovo ThinkPad T490 (20RY/20RX), Lenovo ThinkPad X1 Carbon 6th Gen (20KH/20KG). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY681,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny681-145201465,"Panel part numbers: 00NY681. Compatible laptop models: Lenovo ThinkPad T480 (20L5/20L6), Lenovo ThinkPad T480s (20L7/20L8), Lenovo ThinkPad X1 Carbon 5th Gen (20HR/20HQ), Lenovo ThinkPad X1 Carbon 5th Gen (20K4/20K3), Lenovo ThinkPad X1 Carbon 6th Gen (20KH/20KG), Lenovo ThinkPad X1 Carbon 7th Gen (20QD/20QE), Lenovo ThinkPad X1 Carbon 7th Gen (20R1/20R2), Lenovo ThinkPad X1 Carbon 8th Gen (20UA/20U9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00NY682,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny682-145201466,"Panel part numbers: 00NY682. Compatible laptop models: Lenovo ThinkPad A275 (20KC/20KD), Lenovo ThinkPad A285 (20MW/20MX), Lenovo ThinkPad X260 (20F5/20F6), Lenovo ThinkPad X270 (20HN/20HM), Lenovo ThinkPad X270 (20K6/20K5), Lenovo ThinkPad X280 (20KF/20KE). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
